,name,url
223, Matti Haapoja   ,https://killer.cloud/serial-killers/show/607/matti-haapoja
224," Fritz Haarmann  Butcher of Hannover, the Vampire of Hannover ",https://killer.cloud/serial-killers/show/25/fritz-haarmann
225, Erwin Hagedorn  Hans Erwin Hagedorn ,https://killer.cloud/serial-killers/show/443/erwin-hagedorn
226," Anna Marie Hahn  Arsenic Anna, The Blonde Borgia, the Angel of Mercy ",https://killer.cloud/serial-killers/show/280/anna-marie-hahn
227, Paul Steven Haigh   ,https://killer.cloud/serial-killers/show/210/paul-steven-haigh
228, John George Haigh  Acid Bath Murderer ,https://killer.cloud/serial-killers/show/225/john-george-haigh
229," Rodney Halbower  Gypsy Hill killings, San Mateo slasher ",https://killer.cloud/serial-killers/show/494/gypsy-hill-killings
230," Archibald Hall  Roy Fontaine, The Monster Butler, Killer Butler ",https://killer.cloud/serial-killers/show/294/archibald-hall
231," James Hall  Big Jim, Arkansas Butcher ",https://killer.cloud/serial-killers/show/500/james-hall
232, Larry DeWayne Hall  The Springfield Three ,https://killer.cloud/serial-killers/show/556/larry-dewayne-hall
233, Lizzie Halliday   ,https://killer.cloud/serial-killers/show/539/lizzie-halliday
234, Saeed Hanaei  The Spider Murder ,https://killer.cloud/serial-killers/show/63/saeed-hanaei
235, William Henry Hance  Chairman of the Forces of Evil ,https://killer.cloud/serial-killers/show/332/william-henry-hance
236," Johannes-Andreas Hanni  Estonia's Hannibal Lecter, the Nõmme Cannibal ",https://killer.cloud/serial-killers/show/588/johannes-andreas-hanni
237, Robert Christian Hansen  The Butcher Baker ,https://killer.cloud/serial-killers/show/65/robert-hansen
238, Anthony Hardy  The Camden Ripper ,https://killer.cloud/serial-killers/show/430/anthony-hardy
239," Trevor Hardy  the Beast of Manchester, The Monster of Manchester ",https://killer.cloud/serial-killers/show/431/trevor-hardy
240, William Hare  Burke and Hare murders ,https://killer.cloud/serial-killers/show/460/william-hare
241," Micajah Harpe  Big Harpe, Harpe Brothers ",https://killer.cloud/serial-killers/show/495/micajah-harpe
242," Wiley Harpe  Little Harpe, Harpe Brothers ",https://killer.cloud/serial-killers/show/496/wiley-harpe
243, Matthew James Harris   ,https://killer.cloud/serial-killers/show/422/matthew-james-harris
244, Donald Harvey  Angel of Death ,https://killer.cloud/serial-killers/show/497/donald-harvey
245, Charles Ray Hatcher  Crazy Charlie ,https://killer.cloud/serial-killers/show/61/charles-ray-hatcher
246, Dale Hausner  The Serial Shooters ,https://killer.cloud/serial-killers/show/467/dale-hausner
247, Francis Heaulme  The Criminal Backpacker ,https://killer.cloud/serial-killers/show/144/francis-heaulme
248, William Heirens  The Lipstick Killer ,https://killer.cloud/serial-killers/show/398/william-heirens
249, Boone Helm  The Kentucky Cannibal ,https://killer.cloud/serial-killers/show/488/boone-helm
250, Elmer Wayne Henley  Houston Mass Murders ,https://killer.cloud/serial-killers/show/568/elmer-wayne-henley
251, Alex Henriquez   ,https://killer.cloud/serial-killers/show/562/alex-henriquez
252, Very Idham Henyansyah  singing serial killer ,https://killer.cloud/serial-killers/show/118/very-idham-henyansyah
253, Jacobus Dirk Hertogs  Koos Hertogs ,https://killer.cloud/serial-killers/show/365/koos-hertogs
254, Hiroaki Hidaka   ,https://killer.cloud/serial-killers/show/357/hiroaki-hidaka
255, Gary Hilton  The National Forest Serial Killer ,https://killer.cloud/serial-killers/show/499/gary-hilton
256, Myra Hindley  The Moors murders ,https://killer.cloud/serial-killers/show/604/myra-hindley
257, Niels Högel   ,https://killer.cloud/serial-killers/show/598/niels-hogel
258, Ladislav Hojer  Cowardly Cannibal ,https://killer.cloud/serial-killers/show/655/ladislav-hojer
259, William Dathan Holbert  Wild Bill ,https://killer.cloud/serial-killers/show/270/william-dathan-holbert
260, Henry Howard Holmes  H. H. Holmes ,https://killer.cloud/serial-killers/show/519/henry-howard-holmes
261, Karla Homolka  Wife of Scarborough Rapist ,https://killer.cloud/serial-killers/show/560/karla-homolka
262, Fritz Honka  Peter Jensen ,https://killer.cloud/serial-killers/show/341/fritz-honka
263, Kang Ho-Sun  the gyeongsangnam-do serial killer ,https://killer.cloud/serial-killers/show/140/kang-ho-sun
264, Gabriel Garza Hoth  The Black Widower ,https://killer.cloud/serial-killers/show/416/gabriel-garza-hoth
265, William Devin Howell  Sick Ripper ,https://killer.cloud/serial-killers/show/469/william-devin-howell
266, Waneta Hoyt   ,https://killer.cloud/serial-killers/show/282/waneta-hoyt
